                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1274,                 5.0668,                 4.3583,                0.00158,                0.32488,                0.00745,                0.00237,                 3.3404,                 4.7329,                 4.1579,             0.00013332,             0.00013332,             0.00013332
                      2,                 3.1355,                 4.9295,                 4.2425,                0.00157,                0.31618,                0.00241,                 0.0009,                 3.3383,                 4.7254,                 4.1551,             0.00025025,             0.00025025,             0.00025025
                      3,                 3.1185,                 4.7958,                 4.1772,                0.00154,                0.31364,                0.00575,                0.00228,                 3.3274,                 4.7282,                 4.1386,             0.00033859,             0.00033859,             0.00033859
                      4,                 3.0286,                 4.7056,                 4.1182,                0.00152,                0.32089,                0.00484,                0.00152,                 3.2877,                 4.7188,                 4.0925,             0.00039833,             0.00039833,             0.00039833
                      5,                 2.9676,                 4.4876,                 3.9854,                0.00155,                0.31772,                0.00226,                0.00084,                 3.2951,                 4.6838,                 4.1062,             0.00042947,             0.00042947,             0.00042947
                      6,                  2.742,                 4.3888,                 3.8697,                0.00155,                0.30403,                 0.0017,                0.00069,                 3.3101,                 4.6842,                 4.1513,             0.00043201,             0.00043201,             0.00043201
                      7,                  2.815,                 4.3133,                 3.8075,                0.00158,                0.30865,                0.00161,                0.00065,                  3.285,                 4.6684,                 4.0981,             0.00040596,             0.00040596,             0.00040596
                      8,                  2.655,                 4.0873,                 3.7128,                0.00165,                0.29187,                0.00554,                0.00248,                 3.2286,                 4.6523,                 3.9703,             0.00034108,             0.00034108,             0.00034108
                      9,                 2.7836,                 4.0449,                 3.6776,                0.00207,                0.27744,                0.02514,                0.01228,                  3.203,                 4.4741,                 3.9438,             0.00034108,             0.00034108,             0.00034108
                     10,                 2.6225,                 3.9664,                 3.6069,                0.00338,                0.45005,                0.04188,                0.01783,                 2.9399,                 4.2254,                 3.7621,             0.00023109,             0.00023109,             0.00023109
