                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4638,                 4.5599,                 4.2896,                0.00154,                0.31618,                0.02068,                0.00497,                 3.3378,                 4.7338,                 4.1555,             0.00013332,             0.00013332,             0.00013332
                      2,                 3.4057,                 4.4499,                 4.1971,                0.00155,                0.31047,                0.00525,                0.00159,                  3.325,                 4.7306,                 4.1414,             0.00026858,             0.00026858,             0.00026858
                      3,                 3.2243,                 4.3309,                  4.141,                0.00149,                0.31636,                0.01355,                0.00593,                 3.2978,                 4.7321,                 4.1116,             0.00039432,             0.00039432,             0.00039432
                      4,                 3.2805,                 4.1448,                 4.0373,                0.00123,                0.31112,                 0.0066,                0.00145,                 3.2817,                 4.7556,                 3.9878,             0.00051052,             0.00051052,             0.00051052
                      5,                  3.106,                 3.9426,                 3.9378,                0.00135,                0.31538,                0.00212,                 0.0008,                 3.2399,                 4.6457,                 4.0244,             0.00061718,             0.00061718,             0.00061718
                      6,                 2.9875,                 3.8149,                 3.7591,                0.00148,                0.30812,                0.01497,                 0.0069,                 3.2426,                 4.7196,                 4.0228,             0.00071432,             0.00071432,             0.00071432
                      7,                 2.9631,                 3.6989,                 3.6731,                0.00168,                0.35403,                0.01461,                0.00631,                 3.3325,                 4.6574,                 4.2065,             0.00080192,             0.00080192,             0.00080192
                      8,                 2.9041,                 3.6372,                 3.5922,                0.60704,                0.00816,                0.01121,                0.00349,                 3.1707,                  4.706,                 3.9226,             0.00085436,             0.00085436,             0.00085436
                      9,                 2.8449,                 3.4837,                 3.4526,                0.10818,                0.04301,                0.04128,                0.01336,                 2.8898,                 4.0697,                 3.7756,             0.00085436,             0.00085436,             0.00085436
                     10,                 2.7703,                 3.4108,                 3.3642,                0.35373,                0.15264,                 0.0759,                0.02377,                 2.5771,                 4.9774,                 3.3527,              0.0008177,              0.0008177,              0.0008177
                     11,                 2.6815,                 3.2679,                 3.2938,                0.13003,                0.22662,                0.08273,                0.02851,                 2.7681,                 5.0393,                 3.4493,             0.00078103,             0.00078103,             0.00078103
                     12,                 2.6169,                 3.2966,                 3.2452,                0.13748,                0.20177,                0.11441,                0.04499,                 2.2964,                 3.8182,                 3.1185,             0.00074437,             0.00074437,             0.00074437
                     13,                 2.5648,                 3.1718,                 3.1408,                0.53681,                 0.0713,                0.08126,                0.02802,                 2.5659,                 4.0522,                 3.2705,             0.00070771,             0.00070771,             0.00070771
                     14,                 2.4559,                 3.0989,                 3.1055,                 0.5524,                0.22005,                 0.2272,                0.09061,                 2.2399,                 3.9512,                 3.0113,             0.00067104,             0.00067104,             0.00067104
                     15,                 2.3621,                 3.0507,                 2.9952,                0.19802,                0.27918,                0.12766,                0.04861,                 2.3252,                 4.4878,                 2.9929,             0.00063438,             0.00063438,             0.00063438
                     16,                 2.3563,                 2.9666,                  2.877,                0.35935,                0.36937,                0.24691,                0.09191,                 2.1429,                 3.7768,                 2.8811,             0.00059772,             0.00059772,             0.00059772
                     17,                 2.3252,                 2.9542,                 2.8863,                0.39361,                0.23877,                0.23966,                0.08378,                 2.2013,                 3.3392,                 2.8694,             0.00056105,             0.00056105,             0.00056105
                     18,                 2.2703,                 2.8542,                  2.832,                0.40544,                0.39494,                0.33065,                0.13563,                 2.0175,                 2.9956,                 2.6867,             0.00052439,             0.00052439,             0.00052439
                     19,                 2.3181,                 2.8257,                 2.8363,                0.44903,                0.50283,                0.41269,                0.17901,                  1.915,                 2.8754,                 2.6408,             0.00048773,             0.00048773,             0.00048773
                     20,                 2.2571,                 2.7829,                 2.7818,                0.44525,                0.37868,                0.37947,                0.17273,                 1.8688,                 2.8429,                 2.6097,             0.00045107,             0.00045107,             0.00045107
                     21,                 2.0251,                 3.0363,                 2.7315,                0.46318,                0.49569,                0.43361,                 0.1757,                 1.9156,                 2.7109,                 2.6528,              0.0004144,              0.0004144,              0.0004144
                     22,                 1.9493,                  2.886,                 2.7168,                0.45017,                0.48647,                0.46048,                0.19899,                 1.8384,                 2.5943,                 2.5944,             0.00037774,             0.00037774,             0.00037774
                     23,                 1.9266,                 2.8318,                 2.6284,                0.73919,                0.33301,                0.42942,                0.20569,                 1.7983,                 2.6045,                  2.535,             0.00034108,             0.00034108,             0.00034108
                     24,                 1.8503,                 2.7245,                 2.5964,                0.46173,                0.52796,                0.48813,                0.24109,                 1.7937,                 2.4948,                 2.5124,             0.00030441,             0.00030441,             0.00030441
                     25,                 1.8898,                 2.5735,                 2.5448,                0.53686,                 0.5392,                0.56531,                 0.2826,                 1.7032,                 2.2442,                 2.4435,             0.00026775,             0.00026775,             0.00026775
                     26,                 1.8283,                 2.5837,                 2.5549,                0.54097,                0.57551,                0.61509,                0.30512,                 1.6804,                 2.2783,                 2.4352,             0.00023109,             0.00023109,             0.00023109
                     27,                 1.8204,                 2.3611,                 2.4432,                0.57559,                0.54296,                 0.5817,                0.28494,                 1.7237,                 2.3677,                 2.4381,             0.00019442,             0.00019442,             0.00019442
                     28,                 1.7747,                 2.4014,                 2.4678,                0.47795,                0.40895,                0.46161,                0.21545,                 1.7854,                 2.5065,                 2.4651,             0.00015776,             0.00015776,             0.00015776
                     29,                 1.7189,                 2.3813,                 2.4859,                0.55882,                0.51004,                 0.5522,                 0.2935,                 1.7005,                 2.2568,                   2.41,              0.0001211,              0.0001211,              0.0001211
                     30,                 1.7268,                 2.3144,                 2.4747,                0.63779,                0.62585,                0.66122,                0.37064,                 1.5976,                 2.0615,                 2.3282,             8.4436e-05,             8.4436e-05,             8.4436e-05
